district,school_name,min_score
青浦区,上海市吴淞中学,698.50
青浦区,上海市嘉定区第一中学,724.50
青浦区,上海市建平中学,730.00
青浦区,上海市洋泾中学,687.00
青浦区,上海市高桥中学,694.00
青浦区,上海市川沙中学,712.50
青浦区,上海市金山中学,717.00
青浦区,上海市松江二中,737.50
青浦区,上海市松江一中,710.00
青浦区,上海市青浦高级中学,737.00
青浦区,上海市奉贤中学,728.00
青浦区,上海市崇明中学,697.00
奉贤区,上海市格致中学（奉贤校区）,726.00
奉贤区,上海市第二中学,716.50
奉贤区,上海市位育中学,738.50
奉贤区,上海市南洋中学,701.00
奉贤区,上海市复旦中学,723.00
奉贤区,上海市进才中学,709.50
奉贤区,上海市晋元高级中学,718.50
崇明区,上海南汇中学,687.00
奉贤区,华东师范大学第二附属中学临港奉贤分校,737.50
崇明区,上海交通大学附属中学,763.50
崇明区,复旦大学附属中学,750.50
崇明区,华东师范大学第二附属中学,768.50
崇明区,上海市实验学校东滩高级中学,734.00
松江区,上海市松江二中,756.50
松江区,上海市松江一中,728.00
青浦区,上海市上海中学,765.00
青浦区,上海市朱家角中学,708.50
奉贤区,上海市上海中学,765.50
奉贤区,上海市奉贤中学,757.00
崇明区,上海市上海中学,758.00
崇明区,上海市崇明中学,725.50
长宁区,上海师范大学附属中学闵行分校,731.00
长宁区,上海交通大学附属中学闵行分校,762.00
长宁区,上海大学附属中学,712.50
长宁区,上海师范大学附属中学宝山分校,731.50
长宁区,华东师范大学第二附属中学（宝山校区）,749.50
长宁区,上海交通大学附属中学嘉定分校,745.50
长宁区,上海师范大学附属中学嘉定新城分校,722.00
长宁区,上海中学东校,738.00
长宁区,华东师范大学第三附属中学,680.50
静安区,复旦大学附属中学徐汇分校,758.00
静安区,华东师范大学第二附属中学（普陀校区）,751.50
静安区,复旦大学附属复兴中学,733.50
静安区,华东师范大学第一附属中学,731.50
静安区,上海财经大学附属北郊高级中学,706.00
静安区,同济大学第一附属中学,722.50
静安区,华东师范大学第二附属中学闵行紫竹分校,753.50
静安区,上海师范大学附属中学闵行分校,735.50
静安区,上海交通大学附属中学闵行分校,746.00
静安区,上海大学附属中学,713.50
静安区,上海师范大学附属中学宝山分校,732.00
崇明区,上海师范大学附属中学闵行分校,721.50
崇明区,上海大学附属中学,697.00
崇明区,上海师范大学附属中学宝山分校,708.50
崇明区,华东师范大学第二附属中学（宝山校区）,739.00
奉贤区,上海市朱家角中学,672.50
奉贤区,上海市崇明中学,697.50
崇明区,上海市进才中学,661.50
崇明区,上海市宜川中学,666.50
崇明区,上海市控江中学,726.00
崇明区,上海市闵行中学,704.50
崇明区,上海市行知中学,715.00
崇明区,上海市吴淞中学,693.50
静安区,华东师范大学第二附属中学（宝山校区）,750.50
静安区,上海交通大学附属中学嘉定分校,750.00
静安区,上海师范大学附属中学嘉定新城分校,731.50
静安区,上海中学东校,732.00
静安区,上海市浦东复旦附中分校,743.50
静安区,华东师范大学第三附属中学,675.50
静安区,复旦大学附属中学青浦分校,741.50
静安区,华东师范大学第二附属中学临港奉贤分校,731.00
静安区,上海市实验学校东滩高级中学,711.50
普陀区,上海外国语大学附属大境中学,715.50
普陀区,复旦大学附属中学徐汇分校,755.50
普陀区,复旦大学附属复兴中学,733.00
普陀区,华东师范大学第一附属中学,731.00
普陀区,上海财经大学附属北郊高级中学,714.00
普陀区,同济大学第一附属中学,722.00
普陀区,华东师范大学第二附属中学闵行紫竹分校,750.00
普陀区,上海师范大学附属中学闵行分校,720.50
普陀区,上海交通大学附属中学闵行分校,759.00
普陀区,上海大学附属中学,714.00
普陀区,上海师范大学附属中学宝山分校,726.00
普陀区,上海交通大学附属中学嘉定分校,753.00
普陀区,上海师范大学附属中学嘉定新城分校,715.00
普陀区,上海市浦东复旦附中分校,729.50
普陀区,华东师范大学第三附属中学,683.50
普陀区,上海外国语大学附属外国语学校松江云间中学,729.00
