year,school_code,district,quota_count
2026,062004,徐汇区,2
2026,062011,徐汇区,3
2026,063004,徐汇区,3
2026,064001,徐汇区,4
2026,072002,徐汇区,3
2026,073003,徐汇区,7
2026,073082,徐汇区,6
2026,093001,徐汇区,4
2026,102004,徐汇区,3
2026,102032,徐汇区,8
2026,122001,徐汇区,16
2026,123001,徐汇区,10
2026,122002,徐汇区,15
2026,122003,徐汇区,10
2026,122004,徐汇区,15
2026,132001,徐汇区,1
2026,132002,徐汇区,4
2026,133001,徐汇区,1
2026,132003,徐汇区,4
2026,133003,徐汇区,6
2026,142001,徐汇区,5
2026,142002,徐汇区,7
2026,142004,徐汇区,6
2026,152001,徐汇区,6
2026,152002,徐汇区,6
2026,152004,徐汇区,7
2026,153001,徐汇区,7
2026,153004,徐汇区,5
2026,153005,徐汇区,6
2026,151078,徐汇区,13
2026,152005,徐汇区,4
2026,162000,徐汇区,7
2026,163002,徐汇区,5
2026,172001,徐汇区,7
2026,173001,徐汇区,5
2026,172002,徐汇区,5
2026,172004,徐汇区,3
2026,174003,徐汇区,4
2026,182001,徐汇区,5
2026,183002,徐汇区,4
2026,182002,徐汇区,4
2026,202001,徐汇区,3
2026,202002,徐汇区,8
2026,512000,徐汇区,3
2026,042032,普陀区,11
2026,102056,普陀区,23
2026,102057,普陀区,17
2026,152003,普陀区,9
2026,152006,普陀区,2
2026,012001,普陀区,9
2026,012003,普陀区,4
2026,012005,普陀区,8
2026,012007,普陀区,5
2026,012008,普陀区,4
2026,012009,普陀区,5
2026,012011,普陀区,2
2026,042001,普陀区,5
2026,042008,普陀区,6
2026,042035,普陀区,4
2026,043015,普陀区,3
2026,052001,普陀区,7
2026,052002,普陀区,9
2026,053004,普陀区,7
2026,062001,普陀区,12
2026,062002,普陀区,6
2026,062003,普陀区,7
2026,062004,普陀区,5
2026,062011,普陀区,8
2026,063004,普陀区,7
2026,064001,普陀区,4
2026,092001,普陀区,6
2026,092002,普陀区,4
2026,093001,普陀区,1
2026,102004,普陀区,4
2026,102032,普陀区,8
2026,122001,普陀区,5
2026,122002,普陀区,4
2026,122004,普陀区,5
2026,123001,普陀区,5
2026,132001,普陀区,10
2026,132002,普陀区,10
2026,132003,普陀区,6
2026,133001,普陀区,7
2026,133003,普陀区,2
2026,142001,普陀区,4
2026,142002,普陀区,13
2026,142004,普陀区,5
2026,152001,普陀区,6
2026,152002,普陀区,5
2026,152004,普陀区,8
2026,153001,普陀区,9
2026,153004,普陀区,4
2026,153005,普陀区,8
2026,151078,普陀区,2
2026,152005,普陀区,4
2026,162000,普陀区,3
2026,163002,普陀区,3
2026,172001,普陀区,3
2026,173001,普陀区,5
2026,174003,普陀区,1
2026,182001,普陀区,4
2026,183002,普陀区,4
2026,182002,普陀区,4
2026,202001,普陀区,2
2026,202002,普陀区,2
2026,512000,普陀区,3
2026,042032,静安区,9
2026,102056,静安区,31
2026,102057,静安区,25
2026,152003,静安区,15
2026,012001,静安区,24
2026,012003,静安区,8
