id,code,full_name,short_name,district,school_type_id,school_nature_id
188,144010,上海市嘉定区中光高级中学,中光高中,嘉定区,DISTRICT_MODEL,PUBLIC
191,145018,上海华旭双语学校,华旭双语,嘉定区,GENERAL,PRIVATE
44,014001,上海市金陵中学,金陵中学,黄浦区,GENERAL,PUBLIC
55,044103,上海市中国中学,中国中学,徐汇区,DISTRICT_MODEL,PUBLIC
183,142001,上海市嘉定区第一中学,嘉定一中,嘉定区,CITY_MODEL,PUBLIC
78,062004,上海市市北中学,市北中学,静安区,CITY_MODEL,PUBLIC
141,123003,上海外国语大学闵行外国语中学,上外闵外,闵行区,GENERAL,PUBLIC
164,132001,上海市行知中学,行知中学,宝山区,CITY_MODEL,PUBLIC
87,063007,上海市彭浦中学,彭浦中学,静安区,DISTRICT_MODEL,PUBLIC
92,064008,上海大学市北附属中学,市北附中,静安区,GENERAL,PRIVATE
175,134010,上海民办行中中学,行中中学,宝山区,GENERAL,PRIVATE
206,153008,上海市新川中学,新川中学,浦东新区,DISTRICT_MODEL,PUBLIC
34,012007,上海外国语大学附属大境中学,大境中学,黄浦区,CITY_MODEL,PUBLIC
49,042008,上海市南洋模范中学,南洋模范,徐汇区,CITY_MODEL,PUBLIC
52,042002,上海市第二中学（梅陇校区）,市二梅陇,徐汇区,CITY_POLICY,PUBLIC
98,073003,上海市宜川中学,宜川中学,普陀区,CITY_MODEL,PUBLIC
190,145007,上海市民办远东学校,远东学校,嘉定区,GENERAL,PRIVATE
165,132002,上海大学附属中学,上大附中,宝山区,CITY_MODEL,PUBLIC
77,062003,上海市新中高级中学,新中高中,静安区,CITY_MODEL,PUBLIC
204,153006,上海市三林中学,三林中学,浦东新区,DISTRICT_MODEL,PUBLIC
33,012005,上海市向明中学,向明中学,黄浦区,CITY_MODEL,PUBLIC
72,054010,上海市西郊学校,西郊学校,长宁区,GENERAL,PUBLIC
39,012006,上海市向明中学（浦江校区）,向明浦江,黄浦区,CITY_POLICY,PUBLIC
186,143001,上海市嘉定区第二中学,嘉定二中,嘉定区,CITY_FEATURED,PUBLIC
207,153009,华东师范大学附属周浦中学,周浦中学,浦东新区,DISTRICT_MODEL,PUBLIC
203,153003,上海市上南中学,上南中学,浦东新区,DISTRICT_MODEL,PUBLIC
151,124019,上海中医药大学附属浦江高级中学,上中医浦江,闵行区,GENERAL,PUBLIC
64,044239,上海市徐汇区董恒甫高级中学,董恒甫高中,徐汇区,GENERAL,PUBLIC
150,124015,上海市七宝中学浦江分校,七宝浦江,闵行区,GENERAL,PUBLIC
125,103026,上海财经大学附属中学,财大附中,杨浦区,DISTRICT_MODEL,PUBLIC
227,154048,民办上海工商外国语职业学院附属中学,工商外附,浦东新区,GENERAL,PRIVATE
219,151087,上海市浦东外国语学校东校,浦外东校,浦东新区,GENERAL,PUBLIC
214,154012,上海市浦东中学,浦东中学,浦东新区,DISTRICT_MODEL,PUBLIC
216,154044,上海市建平世纪中学,建平世纪,浦东新区,DISTRICT_MODEL,PUBLIC
223,154033,上海市浦东新区民办浦实高级中学,浦实高中,浦东新区,GENERAL,PRIVATE
215,154016,上海立信会计金融学院附属高行中学,立信高行,浦东新区,DISTRICT_MODEL,PUBLIC
