2026 年上海中考 名额分配到区 招生录取最低分数线（按接收区）,,,,,,,,,
,,,,,,,,,
接收区,招生学校,隶属区,办学性质,录取最低分,语数外,数学,语文,综合测试,是否同分优待
徐汇区,上海市川沙中学,,,727,390,122,125,144,否
徐汇区,上海市金山中学,,,736,403,137,122,139,否
徐汇区,华东师范大学第三附属中学,,,694.5,367.5,109,127,131,否
徐汇区,上海市松江二中,,,740.5,402.5,131,127,142,否
徐汇区,华东师范大学第二附属中学松江分校,,,757,422,150,128,140,否
徐汇区,上海师范大学附属中学松江分校,,,723,394,121,131,134,否
徐汇区,上海市松江一中,,,697.5,381.5,104,137,125,否
徐汇区,上海外国语大学附属外国语学校松江云间中学,,,739.5,405.5,131,135,139,否
徐汇区,上海市青浦高级中学,,,694.5,368.5,104,127,130,否
徐汇区,复旦大学附属中学青浦分校,,,747.5,409.5,144,125,146,否
徐汇区,上海市朱家角中学,,,711.5,387.5,133,122,138,否
徐汇区,上海市奉贤中学,,,750.5,413.5,142,131,143,否
徐汇区,华东师范大学第二附属中学临港奉贤分校,,,741.5,405.5,135,127,140,否
徐汇区,上海市崇明中学,,,711.5,381.5,129,125,135,否
普陀区,上海市格致中学,,,753,412.5,135,131,143,否
普陀区,上海市大同中学,,,754.5,415.5,134,134,145,否
普陀区,上海市向明中学,,,726,402,131,125,132,否
普陀区,上海外国语大学附属大境中学,,,703.5,381.5,118,128,128,否
普陀区,上海市光明中学,,,723.5,388.5,109,134,139,否
普陀区,上海市敬业中学,,,726.5,410.5,141,126,125,否
普陀区,同济大学科技中学,,,753,415,140,127,142,否
普陀区,上海市第二中学,,,702,390,114,131,118,否
普陀区,上海市南洋模范中学,,,760,421,144,133,143,否
普陀区,上海市上海中学,,,767.5,422.5,139,134,146,否
普陀区,上海市位育中学,,,749.5,410.5,145,125,141,否
普陀区,上海市南洋中学,,,730,409,133,129,127,否
普陀区,上海市第三女子中学,,,722.5,395,121,130,133,否
普陀区,上海市延安中学,,,753,413,134,132,145,否
普陀区,上海市复旦中学,,,733,403,129,131,137,否
普陀区,上海市育才中学,,,742,410,135,132,135,否
普陀区,上海市新中高级中学,,,735,411,142,133,130,否
普陀区,上海市市北中学,,,734.5,406,128,136,133,否
普陀区,上海市第六十中学,,,696.5,380,122,122,124.5,否
普陀区,上海市华东模范中学,,,709,384.5,115,125,134,否
普陀区,上海市晋元高级中学,,,748,409,136,129,148,否
普陀区,上海市曹杨第二中学,,,766,423,141,138,145,否
普陀区,上海市宜川中学,,,731,396,127,133,136,否
普陀区,华东师范大学第二附属中学,,,769,426,146,135,144,否
普陀区,复旦大学附属复兴中学,,,753,415,138,128,142,否
普陀区,华东师范大学第一附属中学,,,727.5,397.5,132,125,138,否
普陀区,上海财经大学附属北郊高级中学,,,710,391,125,121,130,否
普陀区,上海市杨浦高级中学,,,734.5,405.5,129,130,138,否
普陀区,上海市控江中学,,,752,414,147,121,144,否
普陀区,上海交通大学附属中学,,,769.5,432.5,150,136,142,否
普陀区,复旦大学附属中学,,,768,427,150,135,145,否
普陀区,上海市七宝中学,,,759.5,423.5,147,129,144,否
普陀区,华东师范大学第二附属中学闵行紫竹分校,,,759,419,148,129,145,否
普陀区,上海交通大学附属中学闵行分校,,,762,421,142,133,145,否
普陀区,上海市闵行中学,,,722.5,396.5,122,128,134,否
普陀区,上海市行知中学,,,737,399,119,136,142,否
普陀区,上海大学附属中学,,,733,399.5,134,124,140,否
普陀区,上海师范大学附属中学宝山分校,,,738,405,140,119,140,否
普陀区,上海市吴淞中学,,,718,395,120,132,130,否
普陀区,华东师范大学第二附属中学,,,763.5,424.5,146,132,146,否
普陀区,上海市嘉定区第一中学,,,742,414,130,139,137,否
普陀区,上海交通大学附属中学嘉定分校,,,764,417,142,131,148,否
普陀区,上海师范大学附属中学嘉定新城分校,,,738.5,398.5,124,133,147,否
普陀区,上海市建平中学,,,751.5,407.5,136,128,147,否
普陀区,上海市进才中学,,,750.5,,,,,是
普陀区,华东师范大学第二附属中学,,,767,425,147,130,146,否
普陀区,上海市浦东复旦附中分校,,,763.5,419.5,140,134,145,否
普陀区,上海师范大学附属中学,,,749,411,137,134,142,否
普陀区,上海市洋泾中学,,,727.5,398.5,123,128,135,否
普陀区,上海市高桥中学,,,724,389.5,110,133,138,否
普陀区,上海市川沙中学,,,737,405,138,124,137,否
普陀区,上海市金山中学,,,720.5,384.5,113,128,141,否
普陀区,华东师范大学第三附属中学,,,713.5,384.5,114,135,132,否
普陀区,上海市松江二中,,,756.5,413.5,135,133,144,否
普陀区,上海市松江一中,,,713.5,386.5,124,125,136,否
普陀区,上海外国语大学附属外国语学校松江云间中学,,,751,410,136,131,145,否
普陀区,上海市青浦高级中学,,,736.5,402.5,137,122,140,否
普陀区,复旦大学附属中学青浦分校,,,764,422,144,132,144,否
普陀区,上海市朱家角中学,,,709.5,381.5,120,124,137,否
普陀区,上海市奉贤中学,,,757,419,143,133,144,否
普陀区,华东师范大学第二附属中学临港奉贤分校,,,741.5,402.5,131,125,146,否
普陀区,上海市崇明中学,,,707,380,130,112,132,否
杨浦区,上海市格致中学,,,746.5,410.5,141,123,140,否
杨浦区,上海市大同中学,,,747,404,122,135,146,否
杨浦区,上海市向明中学,,,720.5,385.5,119,120,145,否
杨浦区,上海外国语大学附属大境中学,,,695.5,379.5,112,132,124,否
杨浦区,上海市光明中学,,,709,377,114,122,140,否
杨浦区,上海市敬业中学,,,706.5,389.5,123,128,132,否
杨浦区,同济大学科技中学,,,756.5,420.5,146,129,142,否
杨浦区,上海市第二中学,,,710.5,391.5,133,125,131,否
杨浦区,上海市南洋模范中学,,,761.5,418.5,143,129,146,否
杨浦区,上海市上海中学,,,768.5,423.5,143,136,148,否
杨浦区,上海市位育中学,,,754.5,416,138,133,146,否
杨浦区,复旦大学附属中学徐汇分校,,,755.5,411.5,141,125,146,否
杨浦区,上海市南洋中学,,,718,391.5,124,123,130,否
杨浦区,上海市第三女子中学,,,732.5,395.5,115,133,141,否
杨浦区,上海市延安中学,,,754.5,409.5,130,132,147,否
杨浦区,上海市市西中学,,,744.5,416.5,140,132,137,否
