2026 年上海中考 1-15志愿（平行志愿）统一招生录取最低分数线,,,,,,,,,,
,,,,,,,,,,
区,招生代码,招生学校,录取最低分,语数外,数学,语文,综合测试,是否同分优待,备注,
徐汇区,,上海市文来中学,671.5,390.5,131,125,139,否,,
徐汇区,,上海市民办燎原双语高级中学,618.5,359,107,118,123,否,,
徐汇区,,上海闵行区诺达双语学校,544.5,317.5,96,122,94,否,,
徐汇区,,上海闵行区民办德闳学校,541.5,337.5,78,118,79,否,,
徐汇区,,上海民办行中中学,508.5,272,80,83,110,否,,
徐汇区,,上海存志高级中学,632.5,368.5,119,111,123,否,,
徐汇区,,上海宝山区民办维尚高级中学,543.5,325,81,116,91,否,未录满,
徐汇区,,上海创艺高级中学,581.5,347.5,101,118,101,否,未录满,
徐汇区,,上海市宝山华曜高级中学,639,377,126,122,126,否,,
徐汇区,,上海市同洲模范学校,558,317,78,110,105,否,,
徐汇区,,上海金瑞学校,529.5,309.5,62,108,92,否,,
徐汇区,,上海市民办远东学校,549,303,107,114,106,否,,
徐汇区,,上海华旭双语学校,493,274,89,106,96,否,未录满,
徐汇区,,上海嘉定区民办华盛怀少学校,,,,,,,线上无人投档,
徐汇区,,上海市浦东新区民办浦实高级中学,620.5,367,104,126,109,否,,
徐汇区,,民办上海工商外国语职业学院附属中学,546.5,295.5,116,101,116,否,,
徐汇区,,上海市民办金苹果学校,545,319.5,88,102,107,否,,
徐汇区,,上海浦东新区民办东鼎外国语学校,576.5,329.5,100,102,116,否,,
徐汇区,,上海市民办尚德实验学校,631.5,371.5,114,129,116,否,,
徐汇区,,上海市民办交大南洋中学,573,311,87,110,128,否,,
徐汇区,,上海金山区世外学校,639.5,371.5,100,129,126,否,,
徐汇区,,上海市松江区科德高级中学,537.5,299,100,102,106,否,,
徐汇区,,上海市松江区励滕高级中学,,,,,,,线上无人投档,
徐汇区,,上海领科双语学校,646,375.5,125,119,135,否,,
徐汇区,,上海市西外外国语学校,563,330,101,120,97,否,,
徐汇区,,上海赫贤学校,528,289,72,105,108,否,未录满,
徐汇区,,上海松江区爱菊学校,610.5,353.5,98,119,118,否,,
徐汇区,,上海青浦区世外高级中学,649,383.5,120,120,133,否,,
徐汇区,,上海青浦区宏润博源高级中学,,,,,,,线上无人投档,
徐汇区,,上海宋庆龄学校,580,339.5,85,119,109,否,,
徐汇区,,上海青浦区协和双语学校,611,350.5,101,111,117,否,,
徐汇区,,上海美达菲双语高级中学,,,,,,,线上无人投档,
徐汇区,,上海奉贤区博华高级中学,540,292,97,108,108,否,,
徐汇区,,上海市崇明区城桥中学,513.5,291.5,88,106,98,否,未录满,
徐汇区,,上海市崇明区堡镇中学,548,303,95,115,107,否,,
徐汇区,,上海民办民一中学,472,254,49,109,91,否,,
